key,id,eco,Name,book,fen6,mainline,slug,eval,checkmate,family,white,draw,black,family name
rnbqkbnr/pp3p1p/3p2p1/2pP4/4P3/8/PP3PPP/RNBQKBNR w KQkq,25213,A43,Queen's Pawn Opening: Benoni Defense,book,rnbqkbnr/pp3p1p/3p2p1/2pP4/4P3/8/PP3PPP/RNBQKBNR w KQkq - 0 6,1.d4 e6 2.c4 c5 3.d5 exd5 4.cxd5 d6 5.e4 g6,Queens-Pawn-Opening-Benoni-Defense-5.e4-g6,0.68,0,106,43.24,18.92,37.84,Benoni Defense
rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq,8793,D00,Queen's Pawn Opening: Blackmar Gambit,book,rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,1.d4 d5 2.e4 dxe4,Queens-Pawn-Opening-Blackmar-Gambit-2...dxe4,-0.59,0,1623,56.83,11.44,31.73,Queen's Pawn Opening
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,13291,D00,Queen's Pawn Opening: Blackmar Gambit,book,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 2,1.e4 d5 2.d4,Queens-Pawn-Opening-Blackmar-Gambit,-0.64,0,1623,54.16,12.05,33.8,Queen's Pawn Opening
rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,3781,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit,notable,rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq d3 0 3,1.e4 Nf6 2.Nc3 d5 3.d4,Queens-Pawn-Opening-Blackmar-Diemer-Gambit,-0.67,0,1623,33.57,15.11,51.32,Queen's Pawn Opening
rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,185,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Brombacher Countergambit,book,rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq c6 0 5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 c5,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Brombacher-Countergambit,-0.49,0,1623,55.26,5.26,39.47,Queen's Pawn Opening
rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,186,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Elbert Countergambit,notable,rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq e6 0 5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e5,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Elbert-Countergambit,1.04,0,1623,55.56,16.67,27.78,Queen's Pawn Opening
rn1qkbnr/pppbpppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq,187,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Grosshans Defense,book,rn1qkbnr/pppbpppp/8/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 4,1.d4 d5 2.e4 dxe4 3.Nc3 Bd7,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Grosshans-Defense,0.47,0,1623,0,0,0,Queen's Pawn Opening
r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,188,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Lamb Defense,notable,r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Nc6,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Lamb-Defense,-0.09,0,1623,33.33,0,66.67,Queen's Pawn Opening
rnbqkb1r/ppp1pppp/5n2/8/3P4/2N1pP2/PPP3PP/R1BQKBNR w KQkq,189,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; Langeheinecke Defense,notable,rnbqkb1r/ppp1pppp/5n2/8/3P4/2N1pP2/PPP3PP/R1BQKBNR w KQkq - 0 5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-Langeheinecke-Defense,0.48,0,1623,38.55,26.51,34.94,Queen's Pawn Opening
rnbqkb1r/pp2pppp/2p2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq,4374,D00,Queen's Pawn Opening: Blackmar-Diemer Gambit Declined; O'Kelly Defense,notable,rnbqkb1r/pp2pppp/2p2n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 5,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.f3 Nf6,Queens-Pawn-Opening-Blackmar-Diemer-Gambit-Declined-OKelly-Defense,-0.24,0,1623,25.76,21.21,53.03,Queen's Pawn Opening
