alias_name,alias_slug,eco_code,reason
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Qb3,A54,low_confidence_or_unmatched
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Qb3-Qc8,A54,low_confidence_or_unmatched
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Qb3-Qc8-5.h3,A54,low_confidence_or_unmatched
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Nc3-Nbd7,A53,low_confidence_or_unmatched
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Nc3-Nbd7-5.e4,A53,low_confidence_or_unmatched
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Nc3-Nbd7-5.e4-e5,A53,low_confidence_or_unmatched
Old Indian Defense: Tartakower-Indian Variation,Old-Indian-Defense-Tartakower-Indian-Variation-4.Nc3-Nbd7-5.e4-e5-6.Be2,A53,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.e3,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.e3-Nbd7,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.d5,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.d5-Be7,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.d5-Be7-5.e4,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.d5-Be7-5.e4-O-O,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.dxe5,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.dxe5-dxe5,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.dxe5-dxe5-5.Qxd8,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.dxe5-dxe5-5.Qxd8-Kxd8,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.dxe5-dxe5-5.Qxd8-Kxd8-6.Bg5,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation-4.dxe5-dxe5-5.Qxd8-Kxd8-6.Nf3,A54,low_confidence_or_unmatched
Old Indian Defense: Ukrainian Variation,Old-Indian-Defense-Ukrainian-Variation...5.Qxd8-Kxd8-6.Nf3-Nfd7,A54,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...Bb4,C46,low_confidence_or_unmatched
Three Knights Opening,Three-Knights-Opening-3...Bb4-4.Nd5,C46,low_confidence_or_unmatched
